"kills","assists","damageDealt","timeSurvived","wins","cluster"
107,26,14758.975,40317,2,"1"
0,0,0,0,0,"1"
0,0,0,530,0,"1"
0,0,0,0,0,"1"
1580,659,227136.78,936578,62,"2"
6,1,665.38245,1452,1,"1"
375,112,59625.797,259972,7,"1"
0,0,0,0,0,"1"
30,0,3866.1252,13559,0,"1"
0,0,0,0,0,"1"
730,297,115807.22,497139,32,"1"
0,0,0,450,0,"1"
273,78,35064.383,211443.75,19,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
2634,1311,361420.4,2483442.2,272,"2"
0,0,0,0,0,"1"
5,1,749.2359,1454,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
867,256,125167.72,373402,17,"1"
0,0,0,0,0,"1"
9,1,1172.8788,4767,1,"1"
0,0,0,0,0,"1"
13,0,1406.3729,5012,0,"1"
0,0,0,0,0,"1"
183,84,24711.621,115605,8,"1"
0,0,0,0,0,"1"
1934,241,186791.17,561664.9,99,"1"
71,12,6856.391,12187.271,5,"1"
442,5,44869.723,122268.09,11,"1"
23,0,2064.984,6110.494,2,"1"
2459,578,272809.8,1129821,195,"2"
413,45,36453.438,63265.164,34,"1"
61,8,8756.039,31799,0,"1"
0,0,0,0,0,"1"
10,0,1063.0035,2311,0,"1"
0,0,0,0,0,"1"
822,401,122261.664,486264,26,"1"
0,0,0,0,0,"1"
290,65,44023.414,166535,6,"1"
15,3,1512.9783,4233,1,"1"
32,0,2949.5854,5998,0,"1"
0,0,0,0,0,"1"
718,226,108693.59,413569,41,"1"
0,0,0,0,0,"1"
169,53,23588.83,215601.78,9,"1"
2,0,87.64362,1440,1,"1"
51,0,4846.5146,20087,1,"1"
0,0,0,0,0,"1"
1678,650,240233.48,1450326.9,152,"2"
1,2,110.19551,1516,0,"1"
161,40,22722.021,83612,11,"1"
6,0,541.75165,950,0,"1"
14,0,1466.2715,3424,0,"1"
0,0,0,0,0,"1"
1253,465,176997.64,793032.9,87,"1"
8,0,875.9497,3711,0,"1"
100,21,15493.915,90430,3,"1"
0,0,0,0,0,"1"
5,0,687.8371,877,0,"1"
0,0,0,0,0,"1"
266,100,47926.94,288614,13,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
156,0,18009,100985.38,3,"1"
0,0,0,0,0,"1"
2235,954,338878.5,1441282,122,"2"
0,0,0,0,0,"1"
112,24,16999.004,43124,2,"1"
0,0,0,0,0,"1"
110,0,11257.108,51364,2,"1"
0,0,0,0,0,"1"
1114,349,158284.06,511127.75,33,"1"
14,4,1371.2563,2592,0,"1"
382,87,51381.043,129190,4,"1"
0,0,0,0,0,"1"
342,0,39011.324,89742,8,"1"
0,0,0,0,0,"1"
9274,2936,1298700.1,3651321.5,281,"4"
0,0,0,0,0,"1"
1509,402,199459,519854,20,"1"
0,0,0,0,0,"1"
40,0,5059.3154,12741,1,"1"
0,0,0,0,0,"1"
1905,750,282014.44,866781,50,"2"
10,1,835.3541,1416,0,"1"
256,44,30544.537,71952,2,"1"
0,0,0,0,0,"1"
105,0,11936.262,21047,0,"1"
7,0,448.65594,443,0,"1"
33896,8897,4183801.8,6938467,447,"3"
23,4,2007.2104,3933,2,"1"
291,62,42871.793,179246,5,"1"
19,0,1470.8094,2502,1,"1"
17,0,1961.2808,13495,0,"1"
0,0,0,0,0,"1"
6350,2309,913714.6,3601536.2,377,"4"
12,5,1493.0807,3725,2,"1"
159,23,21777.195,77055.81,3,"1"
0,0,0,0,0,"1"
318,21,39214.402,264266.7,0,"1"
0,0,0,0,0,"1"
1888,629,257642.06,962451.1,46,"2"
0,0,0,0,0,"1"
1394,235,188122.36,494247,39,"1"
1,0,344.66797,963,0,"1"
243,0,29441.373,78613,8,"1"
0,0,0,0,0,"1"
1530,463,223732.88,684404,49,"1"
0,1,285.097,937,0,"1"
2015,310,279343.56,615418,38,"1"
8,0,925.3059,1549,1,"1"
251,0,27299.703,67299,3,"1"
8,0,957.51086,1431,0,"1"
3445,1087,505488.38,1227471.6,117,"2"
74,22,10122.81,35469.773,5,"1"
394,75,50192.656,152637.97,4,"1"
17,3,2833.0408,6196.036,0,"1"
56,0,5382.37,23374.762,1,"1"
0,0,0,0,0,"1"
1229,318,150609.55,388445.66,45,"1"
25,6,3291.943,8237.658,1,"1"
2411,411,316804.25,786956,84,"2"
23,7,2748.148,4499,0,"1"
291,0,31354.902,85726,10,"1"
2,0,231.02,677,0,"1"
2804,775,423086,1398266,90,"2"
23,4,2240.6724,8665,1,"1"
422,114,68467.086,256860,10,"1"
0,0,0,0,0,"1"
288,0,31964.838,63175,5,"1"
0,0,0,0,0,"1"
2171,949,355286.94,1328709,100,"2"
0,0,0,0,0,"1"
3038,495,397548.1,1198363.4,67,"2"
0,0,0,0,0,"1"
3972,112,452383.03,1230131.6,55,"2"
20,1,1607.4321,3890.96,2,"1"
6525,2047,925189.44,3223072,281,"4"
10,1,1986.201,4361.411,0,"1"
179,29,25111.992,139475,4,"1"
0,0,0,0,0,"1"
22,0,2608.9126,17784,0,"1"
0,0,0,0,0,"1"
1662,610,234437.12,1098586,91,"2"
0,0,278.75812,1355,0,"1"
421,96,57100.574,234277,6,"1"
9,0,1458.4619,1935,0,"1"
44,0,4980.7437,15873,0,"1"
0,0,0,0,0,"1"
612,206,72473.59,257783,17,"1"
20,5,2094.582,4367,1,"1"
164,43,23522.084,160269.58,7,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
1986,886,289692.47,1534039.8,149,"2"
7,5,2207.7126,11070,0,"1"
305,48,39712.676,64802,3,"1"
0,0,0,0,0,"1"
359,0,40077.37,62135,0,"1"
22,0,2236.77,2304,0,"1"
2427,670,321174.9,616393,54,"2"
406,78,51447.07,86341,19,"1"
303,63,44876.117,130702.766,1,"1"
0,0,0,182,0,"1"
66,0,6551.1787,25706.508,0,"1"
21,0,2111.2349,8617,0,"1"
674,143,84417.08,251069.94,32,"1"
3,1,422.86,645.787,0,"1"
43,7,5430.0005,14528,2,"1"
0,0,0,0,0,"1"
0,0,68.69434,1173,0,"1"
0,0,0,0,0,"1"
3427,947,458221.16,1352859,146,"2"
85,18,10040.748,29371,9,"1"
304,55,39515.45,75669,7,"1"
0,0,0,0,0,"1"
1060,0,127364.3,260496,16,"1"
0,0,0,0,0,"1"
3769,1604,537476.7,1434934,185,"2"
0,0,0,0,0,"1"
37,6,6393.1553,23330,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
607,166,83551.266,254737,7,"1"
0,0,0,0,0,"1"
878,148,118845.984,298899,15,"1"
2,1,176.659,953,1,"1"
9,0,905.7705,3117,0,"1"
0,0,0,152,0,"1"
5339,1612,697566.94,1667249,120,"2"
6,0,266.16327,310,0,"1"
1,1,74.22,2856,0,"1"
0,0,0,0,0,"1"
4,0,415.5374,2069,0,"1"
0,0,0,0,0,"1"
474,167,80011.625,409404,31,"1"
0,0,0,0,0,"1"
76,6,9355.318,25413.035,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
