cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins
4,account.3cd8fb76bc3d41b2afb7af1eec2ba478,240,876,517,24,0,76353.46,28,123,847,0,539,352.7824,1646,538,5,1646,0,,198,262568.16,3,12,553,5,1194.3258,2,259029,153,5,305652.72,2406,59,4,0,20
3,account.b33a608f83464d89b8b5b44892594fa9,65,297,131,1,0,21172.629,21,37,343,0,121,307.40552,1563,151,2,1563,0,,33,175441.55,0,6,153,1,257.30273,3,95945,42,5,112757.5,851,1,0,0,5
4,account.7a22a71309b34fda97bf73c0196d99c6,39,79,52,5,1,7996.8647,16,13,95,0,48,291.05746,1390,72,3,1390,0,,20,39256.047,0,5,72,0,396.73175,0,29357,13,0,32271.934,259,5,1,0,1
3,account.477a1c860f7f4820b87a02571c9f8c29,10,89,50,9,0,6500.4146,5,13,46,0,52,413.02078,1519,37,3,1519,0,,15,31159.31,1,6,37,0,1153.6244,0,23356,10,0,37128.76,243,9,0,0,0
3,account.e87e3239d3f94ae6a7484a4a4a9c62ea,8,39,24,7,0,3586.5432,3,11,31,0,28,202.19669,1306,22,2,1306,0,,15,16996.043,0,8,22,0,179.4997,1,16300,7,0,28638.71,156,9,0,0,0
4,account.be304ec269e84fd9b23747951222b509,77,406,217,2,0,33258.176,29,52,239,0,259,428.52063,1635,124,4,1635,0,,24,332658.3,13,11,140,3,168.76143,2,125963,79,9,144946.56,1103,4,0,0,27
3,account.7212ce0c09084cabb9fe31f113c48d31,119,601,266,6,0,35965.29,15,47,429,0,235,309.40765,1507,318,3,1507,0,,75,171564.61,1,7,320,5,700.5086,4,160605,94,6,189825.84,1677,18,2,0,8
3,account.8cdac2d70bb84b8a817e6034e6b28ff6,77,647,272,29,0,40150.14,17,61,327,0,269,309.28705,1633,240,4,1633,0,,63,141315.42,0,7,253,6,726.8697,1,171109,116,4,256196.4,1577,33,0,0,16
4,account.8f5e8722fc9e4bd090577dbafe5f7809,131,1736,230,1,0,29647.576,51,46,1854,0,211,474.45163,1716,668,3,1716,0,,229,1032422.9,0,11,686,21,2840.3455,10,501773,282,5,546443.5,3472,1,0,0,34
3,account.2c9d87b8becb43a68ad8a38edaa5fc3b,75,393,198,4,0,27457.256,21,56,335,0,192,270.51974,1648,227,3,1648,0,,68,227647.05,3,6,231,7,921.2295,6,142632,66,5,137784.66,1367,12,0,0,9
3,account.1085e802dde043f4bebb058bb89087e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.9b231fda774f4d11b00b0484bd33c81b,133,861,328,27,0,50842.32,18,71,478,0,338,259.00726,1639,312,3,1639,0,,105,323480.16,0,9,325,4,193.66891,2,208170,119,6,252167.14,1875,83,3,0,17
3,account.43990a218305482bb30b395abbedaed6,177,1135,502,0,0,76245.945,30,109,901,0,514,246.5334,1625,428,4,1625,0,,161,167005.64,1,9,440,4,479.20663,3,241129,193,3,345480.5,2545,10,0,0,14
2,account.f5711663dc994bab95898eda3e3be808,195,1579,676,33,1,108008.21,28,180,792,0,672,535.7543,1646,515,3,1646,0,,133,521703,3,9,528,4,331.5998,4,307053,174,13,341328.66,4041,33,1,0,16
4,account.868f44f374534148b6e2827e37085d48,136,716,339,13,1,49216.47,30,56,543,0,346,546.0171,1671,312,3,1671,0,,111,296406,2,10,314,5,222.80888,5,160679,76,3,158064.89,2010,21,1,0,8
1,account.1532a51b64104c089a027ad4c74bab18,1815,4108,6243,174,1,824175.4,64,1103,3720,0,7084,331.10245,1543,4215,7,1543,0,,966,283468.9,9,24,4236,36,1001.71625,40,1009539,605,8,1168708.9,15932,443,2,0,64
2,account.df24ec13d312432b8813ee2f2ea8383b,358,1872,878,58,4,132282.39,42,212,1276,0,825,459.5167,1654,645,4,1654,0,,223,889950.94,4,13,675,13,784.7715,6,474598,247,28,540413.3,4663,100,4,0,45
4,account.73d4c1a8b44d4c8d9b76ea6e01a01df2,2,14,5,7,0,842.3604,1,1,15,0,7,246.66803,1169,3,3,1169,0,,1,14122.484,0,4,3,0,0,0,2424,0,0,2811.4475,24,7,0,0,0
3,account.6ad9e04f401347e8a1a74abb03e9b04e,30,130,74,3,0,11531.179,21,15,87,0,76,175.6341,1444,76,3,1444,0,,13,18968.459,0,8,76,1,212.01958,2,30239,15,0,34261.047,381,4,0,0,1
4,account.56b1809b06c84e0c9805b6f45f813791,210,1041,705,0,0,100343.23,28,151,795,0,679,476.9284,1624,361,4,1624,0,,161,376096.44,5,11,377,1,622.50446,6,219690,113,12,238179.44,2907,0,0,0,20
3,account.e672f73b5c614b998edf313beddc6281,10,109,37,6,0,5582.132,5,8,65,0,30,152.0515,1582,37,3,1582,0,,14,61513.82,0,6,39,1,291.39,1,29152,11,0,33206.105,264,6,0,0,2
4,account.dd1e77726caf4019a4e2eeed45ca2e81,97,702,415,1,0,61699.812,48,106,324,0,418,282.75208,1594,286,4,1594,0,,48,301370.1,0,14,293,5,4724.8823,1,190452,118,8,170126.62,1820,2,0,0,15
4,account.8d917c29a90c46b1a3fe9f0d60bf993f,185,1217,495,17,0,78232.07,30,116,981,0,441,532.288,1686,343,4,1686,0,,114,679005.75,6,10,359,3,1031.498,1,283974,167,21,316611.03,2973,65,2,0,21
2,account.ffbbe31f30bc46f1a76c4d5bc0268e35,106,404,262,19,1,40216.227,18,59,355,0,273,614.7084,1622,168,4,1622,0,,58,205458.58,2,15,178,2,460.52707,0,133584,100,10,206383.81,1385,19,1,0,15
4,account.9d35b30f18a946ea8b465b84f7915a3c,29,181,88,10,0,13026.441,10,23,151,0,68,227.83559,1451,81,3,1451,0,,29,93632.09,0,6,81,1,203.42435,2,54656,21,2,65351.023,543,37,0,0,0
