"accountId","playerName","gameMode","assists","boosts","dBNOs","dailyKills","dailyWins","damageDealt","days","headshotKills","heals","killPoints","kills","longestKill","longestTimeSurvived","losses","maxKillStreaks","mostSurvivalTime","rankPoints","rankPointsTitle","revives","rideDistance","roadKills","roundMostKills","roundsPlayed","suicides","swimDistance","teamKills","timeSurvived","top10s","vehicleDestroys","walkDistance","weaponsAcquired","weeklyKills","weeklyWins","winPoints","wins"
"account.3cd8fb76bc3d41b2afb7af1eec2ba478","Fleeing-IYKYK","duo",26,158,74,5,0,14758.975,13,13,149,0,107,165.31766,1620,93,2,1620,0,"",15,64084.816,2,9,94,1,171.65828,1,40317,14,0,46389.895,446,5,0,0,2
"account.3cd8fb76bc3d41b2afb7af1eec2ba478","Fleeing-IYKYK","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.3cd8fb76bc3d41b2afb7af1eec2ba478","Fleeing-IYKYK","solo",0,1,0,0,0,0,2,0,0,0,0,0,457,2,0,457,0,"",0,3034.161,0,0,2,1,0,0,530,0,0,285.649,8,0,0,0,0
"account.3cd8fb76bc3d41b2afb7af1eec2ba478","Fleeing-IYKYK","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.3cd8fb76bc3d41b2afb7af1eec2ba478","Fleeing-IYKYK","squad",659,3008,1506,6,0,227136.78,103,399,2487,0,1580,604.7658,1711,1502,5,1711,0,"",554,1306568.2,14,13,1545,18,3399.5723,9,936578,502,20,1147821.1,7547,6,0,0,62
"account.3cd8fb76bc3d41b2afb7af1eec2ba478","Fleeing-IYKYK","squad-fpp",1,2,3,6,1,665.38245,1,2,5,0,6,210.20201,1239,1,2,1239,0,"",1,0,0,6,2,0,0,0,1452,1,0,2851.9028,11,6,1,0,1
"account.b33a608f83464d89b8b5b44892594fa9","Reaxxx000","duo",112,906,274,0,0,59625.797,56,105,808,0,375,247.74347,1640,531,2,1640,0,"",110,379839.16,3,7,538,12,757.70667,3,259972,61,8,307110.16,2932,0,0,0,7
"account.b33a608f83464d89b8b5b44892594fa9","Reaxxx000","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.b33a608f83464d89b8b5b44892594fa9","Reaxxx000","solo",0,32,0,0,0,3866.1252,16,17,22,0,30,245.31401,1402,30,2,1402,0,"",0,24388.041,0,6,30,0,157.61537,0,13559,3,0,17263.945,132,0,0,0,0
"account.b33a608f83464d89b8b5b44892594fa9","Reaxxx000","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.b33a608f83464d89b8b5b44892594fa9","Reaxxx000","squad",297,1745,755,5,0,115807.22,89,206,1743,0,730,386.41904,1601,761,3,1601,0,"",202,853181.06,3,14,776,10,1233.1201,7,497139,195,20,581629.25,4128,75,1,0,32
"account.b33a608f83464d89b8b5b44892594fa9","Reaxxx000","squad-fpp",0,0,0,0,0,0,1,0,0,0,0,0,450,1,0,450,0,"",0,0,0,0,1,0,0,0,450,0,0,157.2121,2,0,0,0,0
"account.7a22a71309b34fda97bf73c0196d99c6","inninizXiao-","duo",78,514,168,3,0,35064.383,84,46,582,0,273,224.26341,2002.038,359,3,2002.038,0,"",96,128528.73,0,10,372,8,1240.6306,9,211443.75,115,4,339152.38,1163,17,0,0,19
"account.7a22a71309b34fda97bf73c0196d99c6","inninizXiao-","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.7a22a71309b34fda97bf73c0196d99c6","inninizXiao-","solo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.7a22a71309b34fda97bf73c0196d99c6","inninizXiao-","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.7a22a71309b34fda97bf73c0196d99c6","inninizXiao-","squad",1311,5664,2277,1,0,361420.4,376,616,6021,0,2634,470.32114,1981.267,3851,6,1981.267,0,"",1132,2244277.2,22,19,4034,76,14679.38,94,2483442.2,1689,50,4329183.5,13276,1,0,0,272
"account.7a22a71309b34fda97bf73c0196d99c6","inninizXiao-","squad-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.477a1c860f7f4820b87a02571c9f8c29","98savagelala","duo",1,3,3,3,0,749.2359,3,1,2,0,5,35.200638,466,8,1,466,0,"",0,0,0,2,8,0,0,0,1454,0,0,1212.5964,29,3,0,0,0
"account.477a1c860f7f4820b87a02571c9f8c29","98savagelala","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.477a1c860f7f4820b87a02571c9f8c29","98savagelala","solo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.477a1c860f7f4820b87a02571c9f8c29","98savagelala","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.477a1c860f7f4820b87a02571c9f8c29","98savagelala","squad",256,1526,881,42,3,125167.72,33,193,1422,0,867,431.33105,1732,656,5,1732,0,"",298,575674.6,3,11,666,6,2381.5662,6,373402,151,10,458533.16,4120,66,3,0,17
"account.477a1c860f7f4820b87a02571c9f8c29","98savagelala","squad-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.e87e3239d3f94ae6a7484a4a4a9c62ea","nizaizuosheme","duo",1,11,4,1,0,1172.8788,2,5,22,0,9,87.974655,1236,7,2,1236,0,"",1,4443.0693,0,6,8,0,64.381355,0,4767,2,0,8347.096,40,1,0,0,1
"account.e87e3239d3f94ae6a7484a4a4a9c62ea","nizaizuosheme","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.e87e3239d3f94ae6a7484a4a4a9c62ea","nizaizuosheme","solo",0,11,0,2,0,1406.3729,2,3,9,0,13,206.61998,1090,6,1,1090,0,"",0,2.128201,0,3,6,0,102.10733,0,5012,1,0,10653.412,46,2,0,0,0
"account.e87e3239d3f94ae6a7484a4a4a9c62ea","nizaizuosheme","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.e87e3239d3f94ae6a7484a4a4a9c62ea","nizaizuosheme","squad",84,331,189,10,2,24711.621,13,58,334,0,183,336.0979,1631,193,4,1631,0,"",62,182902.98,0,9,198,2,591.4978,1,115605,40,3,163964.38,1035,10,2,0,8
"account.e87e3239d3f94ae6a7484a4a4a9c62ea","nizaizuosheme","squad-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.be304ec269e84fd9b23747951222b509","AFTV_ChoiSojin","duo",241,2074,879,2,0,186791.17,241,368,1117,0,1934,447.08264,1866,512,4,1866,0,"",109,817587.7,40,22,608,11,2936.8193,6,561664.9,333,12,998572.3,3396,2,0,0,99
"account.be304ec269e84fd9b23747951222b509","AFTV_ChoiSojin","duo-fpp",12,43,41,14,1,6856.391,10,8,19,0,71,246.13214,1582,7,3,1582,0,"",7,13455.748,1,14,11,0,103.45483,2,12187.271,9,0,23110.01,52,14,1,0,5
"account.be304ec269e84fd9b23747951222b509","AFTV_ChoiSojin","solo",5,528,0,8,1,44869.723,82,97,212,0,442,528.2307,1954.27,120,2,1954.27,0,"",0,135667.05,7,13,131,3,218.69016,1,122268.09,58,5,222833.97,679,8,1,0,11
"account.be304ec269e84fd9b23747951222b509","AFTV_ChoiSojin","solo-fpp",0,35,0,1,0,2064.984,6,4,3,0,23,251.62955,1680.494,4,1,1680.494,0,"",0,13741.765,0,7,6,0,0,0,6110.494,3,0,9436.626,40,1,0,0,2
"account.be304ec269e84fd9b23747951222b509","AFTV_ChoiSojin","squad",578,3609,1898,1,2,272809.8,374,548,2255,0,2459,573.29004,1967,1184,6,1967,0,"",265,2159005.5,93,18,1342,28,4498.183,13,1129821,764,48,1739820.6,7836,2,2,0,195
"account.be304ec269e84fd9b23747951222b509","AFTV_ChoiSojin","squad-fpp",45,232,277,2,2,36453.438,43,90,121,0,413,358.75604,1802,28,5,1802,0,"",17,98668,4,32,58,2,216.33472,0,63265.164,43,0,134362.86,352,2,2,0,34
"account.7212ce0c09084cabb9fe31f113c48d31","XiaYuLe_989","duo",8,112,48,3,0,8756.039,21,17,56,0,61,398.80777,1551,61,3,1551,0,"",12,38837.04,0,5,61,0,746.1397,1,31799,9,0,37318.05,315,3,0,0,0
"account.7212ce0c09084cabb9fe31f113c48d31","XiaYuLe_989","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
